cityName,country,lat,lng,temp,humidity,cloudiness,winds
port elizabeth,za,39.31,-74.98,92.21,59,1,9.17
nelson bay,au,-32.72,152.14,42.57,93,0,10.67
tommot,ru,58.97,126.27,40.45,91,19,3.0
ilulissat,gl,69.22,-51.1,46.4,87,75,8.05
birao,cf,10.3,22.78,78.25,69,9,6.55
rundu,na,-17.91,19.77,62.23,20,0,3.67
susanville,us,40.42,-120.65,80.31,21,1,5.82
cabedelo,br,-6.97,-34.84,77.0,88,75,17.22
naryan-mar,ru,67.67,53.09,44.41,93,88,13.76
port alfred,za,-33.59,26.89,55.99,74,72,13.0
kapaa,us,22.08,-159.32,78.64,88,90,9.17
vila,vu,45.18,8.4,80.62,51,0,5.82
iskateley,ru,67.68,53.15,44.41,93,88,13.76
airai,pw,-8.93,125.41,67.45,78,1,4.92
honiara,sb,-9.43,159.96,73.4,100,20,8.16
road town,vg,18.42,-64.62,83.19,70,40,10.29
beringovskiy,ru,63.05,179.32,56.83,78,100,7.87
saldanha,za,41.42,-6.55,90.31,21,0,13.58
khatanga,ru,71.98,102.47,57.55,51,87,7.9
nikolskoye,ru,59.7,30.79,61.84,88,90,8.95
margate,za,-43.03,147.26,39.25,86,20,9.17
harstad,no,68.8,16.53,63.97,46,0,4.7
beyneu,kz,45.32,55.19,95.89,22,61,17.52
cherskiy,ru,68.75,161.3,42.25,79,66,5.77
cap malheureux,mu,-19.98,57.61,70.56,78,40,17.22
arys,kz,42.43,68.8,87.8,16,0,8.95
saint-philippe,re,45.36,-73.48,87.75,62,75,20.8
jamestown,sh,-33.21,138.6,50.17,46,0,13.33
praia da vitoria,pt,38.73,-27.07,77.41,69,20,15.86
phalaborwa,za,-23.95,31.14,73.4,12,0,4.7
phalombe,mw,-15.81,35.65,64.03,59,88,2.91
progreso,mx,-34.68,-56.22,64.85,68,0,6.93
provideniya,ru,64.42,-173.23,54.13,82,67,4.52
khani,ru,41.96,42.96,71.6,94,90,3.36
palana,ru,59.08,159.95,51.79,98,100,16.33
rikitea,pf,-23.12,-134.97,66.19,60,96,13.73
ponta do sol,cv,-20.63,-46.0,67.63,49,27,8.23
yatou,cn,3.63,9.81,80.6,83,75,3.36
pahrump,us,36.21,-115.98,93.27,10,1,8.05
babstovo,ru,48.12,132.48,62.41,93,0,2.91
albany,au,42.65,-73.75,88.34,59,40,6.93
estelle,us,43.97,3.47,78.35,57,0,9.17
georgetown,sh,6.8,-58.16,83.23,79,75,13.87
porto novo,cv,-23.68,-45.44,71.6,43,0,3.36
moron,mn,18.56,-74.26,82.93,67,59,2.51
nouadhibou,mr,20.93,-17.03,73.4,60,0,23.04
daru,pg,-9.07,143.21,73.03,87,97,7.85
darhan,mn,49.49,105.92,61.69,81,58,2.66
grand-santi,gf,4.27,-54.38,84.37,70,65,2.68
salalah,om,17.01,54.1,80.6,88,75,2.24
denpasar,id,-8.65,115.22,71.23,91,32,6.38
sitka,us,37.17,-99.65,100.99,31,0,23.0
faya,td,18.39,42.45,81.54,14,40,11.41
nanortalik,gl,60.14,-45.24,44.41,88,21,4.99
yangliuqing,cn,39.14,117.0,79.38,83,0,4.47
vestmannaeyjar,is,63.44,-20.27,55.4,82,75,5.82
katsuura,jp,33.93,134.5,75.69,94,75,13.87
sidi ali,dz,36.1,0.42,79.51,69,0,26.84
abu kamal,sy,34.45,40.92,89.05,29,0,12.03
yellowknife,ca,62.45,-114.38,64.2,42,40,3.36
udachnyy,ru,66.42,112.4,50.0,57,40,6.71
titesti,ro,45.02,25.0,71.01,77,50,5.3
klaksvik,fo,62.23,-6.59,51.8,100,90,10.29
pitimbu,br,-7.47,-34.81,77.0,88,75,17.22
sagna,ro,46.97,27.01,71.26,88,0,1.79
maymyo,mm,22.03,96.47,86.0,70,40,6.93
mataura,pf,-46.19,168.86,45.0,97,100,3.0
crotone,it,39.09,17.12,75.2,78,0,6.93
banjar,id,-7.37,108.54,69.79,97,99,1.12
cockburn town,tc,21.46,-71.14,82.57,78,51,18.99
bathsheba,bb,13.22,-59.52,87.8,62,20,17.22
lorengau,pg,-2.02,147.27,80.41,83,8,10.69
surt,ly,31.21,16.59,78.79,69,0,14.25
deputatskiy,ru,69.3,139.9,35.95,88,100,5.64
esperance,au,-33.86,121.89,50.0,100,75,21.92
belomorsk,ru,64.52,34.76,53.77,74,87,8.01
marzuq,ly,14.4,46.47,82.57,40,77,4.45
jiexiu,cn,37.02,111.92,73.03,69,100,2.51
la ronge,ca,55.1,-105.3,71.6,68,75,13.87
souillac,mu,45.6,-0.6,81.97,42,0,3.36
erzin,ru,36.95,36.2,79.75,74,0,9.24
leirvik,fo,59.78,5.5,61.39,72,20,11.41
pacific grove,us,36.62,-121.92,61.88,77,90,6.93
wuwei,cn,37.93,102.64,69.79,30,2,11.05
oistins,bb,13.07,-59.53,87.8,62,20,17.22
lompoc,us,34.64,-120.46,64.15,77,90,6.93
savinka,ru,50.08,47.1,75.19,45,37,7.4
martyush,ru,56.4,61.89,69.79,89,21,3.62
vostok,ru,46.45,135.83,61.33,97,0,2.82
sesvete,hr,45.83,16.11,72.99,69,0,1.12
novikovo,ru,51.15,37.89,60.97,89,94,8.48
linxia,cn,35.6,103.21,54.49,60,0,8.57
sawakin,sd,19.1,37.33,91.93,28,6,4.0
grindavik,is,63.84,-22.43,58.62,76,40,17.22
kargasok,ru,59.06,80.87,67.09,73,2,3.69
ron phibun,th,8.18,99.85,74.11,96,25,1.41
suez,eg,29.97,32.54,80.41,51,0,16.13
kande,tg,0.3,32.05,65.29,81,56,2.06
north bend,us,43.41,-124.22,68.36,59,1,17.22
sur,om,22.57,59.53,77.17,85,1,12.86
victoria,sc,5.28,115.24,81.23,88,75,1.12
tiarei,pf,-17.53,-149.33,77.0,65,20,2.24
orlik,ru,53.95,17.74,68.5,77,0,5.82
kyaikto,mm,17.31,97.01,76.63,94,100,4.27
khash,ir,28.22,61.21,72.85,11,16,3.11
hithadhoo,mv,-0.6,73.08,83.11,77,93,16.44
hilo,us,19.71,-155.08,78.33,78,20,3.36
waipawa,nz,-39.94,176.59,46.99,95,100,2.17
husavik,is,50.56,-96.99,76.87,35,0,13.0
pochutla,mx,15.74,-96.47,89.01,62,75,5.82
shimoda,jp,34.7,138.93,75.99,94,100,4.56
saint george,bm,39.45,22.34,76.32,60,75,4.7
westport,nz,41.14,-73.36,85.91,66,1,8.05
omsukchan,ru,62.53,155.8,51.07,97,100,4.43
necochea,ar,-38.55,-58.74,60.01,60,83,8.01
milton,nz,-35.32,150.44,40.57,75,6,13.87
seymchan,ru,62.93,152.39,43.33,93,100,9.44
fuyang,cn,32.89,115.81,76.45,80,0,2.8
lourdes,fr,13.73,-89.37,89.04,62,40,8.05
maceio,br,-9.67,-35.74,73.4,88,90,9.17
barrow,us,-38.31,-60.23,56.11,38,85,15.73
anderson,us,34.51,-82.65,92.07,49,1,5.82
chokurdakh,ru,70.62,147.9,35.95,87,85,8.59
te anau,nz,-45.41,167.72,41.53,86,93,6.38
lavrentiya,ru,65.58,-170.99,49.63,86,100,7.43
panuco,mx,22.88,-102.54,71.6,53,40,4.18
port-cartier,ca,50.03,-66.88,66.2,55,90,8.05
mahibadhoo,mv,3.78,72.97,84.55,77,100,20.56
pauri,in,30.15,78.78,72.85,82,53,3.44
inta,ru,66.04,60.13,56.47,92,89,4.97
kaitangata,nz,-46.28,169.85,46.99,86,100,8.99
krasnyy chikoy,ru,50.36,108.75,56.83,79,100,1.92
mangrol,in,25.33,76.51,94.09,42,59,1.61
tezu,in,27.93,96.16,76.45,78,93,3.8
acapulco,mx,16.86,-99.88,86.0,70,75,5.82
avarua,ck,-21.21,-159.78,69.8,94,2,2.24
tecoanapa,mx,16.99,-99.26,86.0,70,75,5.82
aklavik,ca,68.22,-135.01,59.72,82,75,5.82
quatre cocos,mu,-20.21,57.76,70.39,78,40,17.22
vychegodskiy,ru,61.25,46.88,65.83,62,83,4.99
thompson,ca,55.74,-97.86,66.2,63,75,12.75
dunedin,nz,-45.87,170.5,48.0,96,100,8.43
prince rupert,ca,54.32,-130.32,60.8,77,90,4.7
los llanos de aridane,es,28.66,-17.92,69.58,69,20,18.34
kutum,sd,14.2,24.66,82.93,41,37,7.7
sobolevo,ru,54.43,31.9,58.09,88,52,8.63
boa vista,br,2.82,-60.67,86.0,62,75,6.93
kalmunai,lk,7.42,81.82,80.05,68,75,9.06
bonavista,ca,48.65,-53.11,69.01,55,43,5.99
obsharovka,ru,53.12,48.85,64.75,82,6,3.8
hasaki,jp,35.73,140.83,75.09,100,75,3.36
mar del plata,ar,-46.43,-67.52,46.39,39,77,28.5
deer lake,ca,49.18,-57.43,73.15,40,20,14.99
itoman,jp,26.12,127.67,82.72,83,75,23.04
shakawe,bw,-18.36,21.84,61.69,21,0,4.9
marystown,ca,47.17,-55.16,63.13,66,18,17.25
bilibino,ru,68.06,166.44,34.87,79,96,4.29
shenjiamen,cn,29.96,122.3,78.43,90,98,13.65
milkovo,ru,41.53,24.68,74.91,78,20,5.82
havre-saint-pierre,ca,50.23,-63.6,77.0,31,20,6.93
roald,no,62.58,6.12,59.04,82,20,11.41
morondava,mg,-20.3,44.28,75.55,70,0,11.72
kudahuvadhoo,mv,2.67,72.89,84.01,75,99,17.76
flinders,au,-34.58,150.85,44.71,75,0,13.87
xuanzhou,cn,30.95,118.78,75.73,96,18,1.9
troitskoye,ru,52.98,84.68,59.53,98,92,3.87
sisophon,kh,13.59,102.97,75.19,94,88,2.64
tasiilaq,gl,65.61,-37.64,48.2,76,20,9.17
tessalit,ml,20.2,1.01,107.59,9,98,18.84
new norfolk,au,-42.78,147.06,39.24,86,20,9.17
arraial do cabo,br,-22.97,-42.02,71.6,68,40,13.87
sampit,id,-2.54,112.95,75.55,97,99,2.57
hamada,jp,34.9,132.08,75.99,71,100,6.78
bani walid,ly,31.76,14.0,75.73,51,7,15.05
mirnyy,ru,56.57,36.46,58.09,94,94,6.85
srednekolymsk,ru,67.46,153.71,42.07,68,99,4.54
luderitz,na,-26.65,15.16,58.45,83,0,31.05
sao joao da barra,br,-21.64,-41.05,72.55,64,75,17.22
kulhudhuffushi,mv,6.62,73.07,83.29,78,100,21.14
ornes,no,49.25,5.47,72.52,53,0,4.7
aykhal,ru,65.95,111.51,50.0,57,40,6.71
cape town,za,-33.93,18.42,51.69,66,20,12.75
hibbing,us,47.43,-92.94,75.16,69,40,13.38
mugur-aksy,ru,50.38,90.44,40.99,87,68,2.93
harper,lr,30.3,-99.24,90.52,38,1,12.75
nome,us,30.04,-94.42,92.41,56,20,11.41
massakory,td,13.0,15.73,84.37,56,90,13.11
salina cruz,mx,16.18,-95.2,92.47,48,67,7.78
mecca,sa,21.43,39.83,90.31,47,50,11.5
novobirilyussy,ru,56.95,90.69,59.17,81,55,7.63
anadyr,ru,64.73,177.51,60.42,77,75,11.18
wairoa,nz,-39.04,177.43,50.0,99,100,3.15
ostrovnoy,ru,68.05,39.51,43.15,92,1,9.62
rocha,uy,-34.48,-54.34,60.43,83,70,6.51
laguna,br,16.17,-88.94,86.0,74,75,6.93
nuuk,gl,64.17,-51.74,49.01,81,75,9.17
balezino,ru,57.97,53.01,62.23,91,96,5.41
hambantota,lk,6.12,81.12,82.4,78,40,13.87
half moon bay,us,37.46,-122.43,69.66,77,90,19.46
keta,gh,5.92,0.99,75.73,89,100,4.68
kysyl-syr,ru,63.9,122.77,43.69,58,0,5.08
vikhorevka,ru,56.12,101.17,57.09,100,23,6.71
karratha,au,-20.74,116.85,66.91,35,55,11.1
sambava,mg,-14.27,50.17,64.75,93,1,2.75
talnakh,ru,69.49,88.39,59.0,58,0,8.95
seydi,tm,13.34,7.75,82.4,78,0,6.93
anchorage,us,61.22,-149.89,69.13,64,75,2.37
elko,us,40.83,-115.76,83.43,26,1,9.17
hirara,jp,24.8,125.28,83.83,83,100,11.74
kachiry,kz,53.07,76.1,67.45,74,83,6.31
mombetsu,jp,44.35,143.35,66.99,81,100,3.0
wanning,cn,48.64,13.53,72.21,44,75,1.12
kasempa,zm,-13.46,25.83,59.17,46,41,3.51
pampa,us,35.54,-100.96,99.5,22,1,20.8
padang,id,-0.92,100.36,80.95,79,100,2.75
benghazi,ly,32.12,20.07,78.61,67,0,18.01
kurmanayevka,ru,52.51,52.07,68.17,78,50,7.18
pindi gheb,pk,33.24,72.27,78.8,83,40,8.25
lardos,gr,36.09,28.02,76.55,61,20,11.41
arkhipo-osipovka,ru,44.37,38.53,64.57,88,13,5.1
martin,sk,36.34,-88.85,89.92,66,1,9.17
khangarh,pk,29.91,71.16,91.4,66,40,9.17
ferme-neuve,ca,46.7,-75.45,81.49,62,35,11.52
vardo,no,39.62,-77.74,93.74,50,40,9.17
pisco,pe,-13.71,-76.2,65.82,30,90,5.82
ereymentau,kz,51.62,73.1,66.73,52,14,6.2
zdvinsk,ru,54.7,78.67,60.25,97,42,8.25
atuona,pf,-9.8,-139.03,79.51,76,41,14.29
gravdal,no,59.79,5.78,61.72,72,20,11.41
waterlooville,gb,50.88,-1.03,63.86,88,75,12.75
gulfport,us,30.37,-89.09,92.34,52,1,11.41
coquimbo,cl,-29.95,-71.34,62.6,59,0,16.11
muravlenko,ru,63.79,74.5,75.01,64,100,11.03
giaveno,it,45.04,7.35,78.93,69,20,4.7
sandwick,gb,54.57,-2.89,62.62,100,100,10.29
humenne,sk,49.19,28.7,62.77,82,11,6.82
biltine,td,14.53,20.93,92.83,31,48,6.29
bad salzdetfurth,de,52.06,10.01,71.87,64,0,3.36
flagstaff,us,35.2,-111.65,85.84,15,1,5.82
mawlaik,mm,23.63,94.42,74.83,92,94,4.5
abu dhabi,ae,24.47,54.37,94.15,79,31,5.82
ozernovskiy,ru,51.5,156.52,48.55,90,98,4.92
jega,ng,12.22,4.38,89.41,49,58,9.91
tabou,ci,4.42,-7.36,76.99,86,78,8.77
puerto madryn,ar,-42.77,-65.04,52.69,36,99,29.01
pangnirtung,ca,66.15,-65.72,46.4,100,90,3.36
gornopravdinsk,ru,60.06,69.92,64.75,72,100,3.69
pervomayskoye,ru,57.07,86.23,63.31,95,56,6.8
banyo,cm,6.75,11.81,62.77,99,99,0.92
bontang,id,0.12,117.47,73.75,99,25,1.01
grand gaube,mu,-20.01,57.66,70.56,78,40,17.22
uige,ao,-7.61,15.06,72.13,44,0,2.42
bowen,au,-20.01,148.25,48.58,100,0,3.8
aborlan,ph,9.44,118.55,78.8,88,20,4.7
marawi,sd,8.0,124.29,75.99,90,80,5.99
yerofey pavlovich,ru,53.97,121.97,55.21,92,100,4.81
davila,ph,18.47,120.58,78.8,88,75,3.36
fortuna foothills,us,32.66,-114.41,99.36,12,1,5.82
toora-khem,ru,52.47,96.11,52.69,85,31,4.36
lata,sb,30.78,78.62,42.07,80,46,3.56
oranjemund,na,-28.55,16.43,55.75,85,0,19.39
fernie,ca,49.5,-115.06,59.86,44,75,12.75
emilio carranza,mx,19.97,-96.61,89.23,50,23,3.18
rawson,ar,-43.3,-65.11,50.89,29,78,31.09
port blair,in,11.67,92.75,83.29,82,94,11.86
anloga,gh,5.79,0.9,75.73,89,100,4.68
college,us,64.86,-147.8,64.31,63,75,6.93
qeshm,ir,26.96,56.27,91.4,75,20,9.17
peterhead,gb,-34.83,138.5,54.64,43,0,13.87
portland,au,43.66,-70.25,81.43,53,1,6.93
yerbogachen,ru,61.28,108.01,50.89,59,6,9.04
ancud,cl,-41.87,-73.83,50.0,53,40,12.75
ankang,cn,32.73,108.99,70.33,95,56,2.33
port hardy,ca,50.7,-127.42,55.4,87,75,6.93
qaqortoq,gl,60.72,-46.03,60.8,59,75,9.17
hofn,is,64.25,-15.21,55.4,82,75,8.05
tura,ru,64.27,100.22,48.55,71,0,5.32
koeru,ee,58.97,26.03,64.99,52,38,5.01
kavaratti,in,10.57,72.64,81.67,76,100,21.52
tiznit,ma,29.7,-9.73,68.53,91,4,10.85
chapais,ca,49.78,-74.86,75.2,57,75,12.75
alofi,nu,-19.06,-169.92,73.4,94,40,5.82
fatehpur,pk,31.18,71.21,98.95,41,20,8.41
hovd,mn,63.83,10.7,59.14,77,0,14.99
faanui,pf,-16.48,-151.75,76.63,73,55,12.59
yenagoa,ng,4.92,6.26,73.93,92,100,5.12
siirt,tr,37.93,41.94,81.85,22,0,0.81
port-gentil,ga,-0.72,8.78,78.8,88,75,10.29
qasigiannguit,gl,68.82,-51.19,46.4,87,75,8.05
pevek,ru,69.7,170.27,32.17,98,100,8.1
pangody,ru,65.85,74.49,76.27,60,74,5.97
vanimo,pg,-2.67,141.3,82.21,75,84,5.44
cabo san lucas,mx,22.89,-109.91,85.96,70,20,8.05
wagar,sd,31.44,-87.99,90.18,58,75,1.01
san patricio,mx,-26.98,-56.83,72.67,73,28,5.57
kamenka,ru,48.03,28.7,64.0,79,23,2.48
namibe,ao,-15.19,12.15,68.89,90,10,14.61
tuatapere,nz,-46.13,167.69,45.0,97,44,3.0
warrnambool,au,-38.38,142.48,50.0,89,99,1.99
price,us,39.6,-110.81,86.2,12,1,4.7
dongsheng,cn,29.72,112.52,78.25,85,16,4.07
honolulu,us,21.3,-157.86,79.16,94,90,5.82
las cruces,us,-33.5,-71.62,63.32,55,0,6.93
payakumbuh,id,-0.23,100.63,67.81,96,100,2.39
kabalo,cd,-6.05,26.92,79.51,30,2,4.81
chipinge,zw,-20.19,32.62,63.31,21,7,4.85
hokitika,nz,-42.72,170.96,49.09,77,100,3.13
vieques,us,18.43,-65.83,80.51,94,90,20.8
lakatoro,vu,-16.11,167.42,75.73,77,55,12.73
hauterive,ca,49.18,-68.27,62.24,77,90,6.93
meybod,ir,32.25,54.02,93.2,9,0,6.93
san policarpo,ph,12.18,125.51,78.25,90,63,4.56
damietta,eg,31.42,31.81,80.6,74,20,13.87
tihemetsa,ee,58.15,25.05,64.21,70,18,6.26
tual,id,-5.67,132.75,76.99,86,35,19.62
baykit,ru,61.68,96.39,50.17,67,0,7.43
kodiak,us,39.95,-94.76,93.76,21,1,14.99
porbandar,in,21.64,69.61,81.85,84,0,12.15
artvin,tr,41.18,41.83,69.8,94,75,9.17
baherden,tm,38.44,57.43,88.51,14,0,0.18
nijar,es,36.97,-2.21,88.47,26,20,26.4
nemuro,jp,43.32,145.57,58.09,98,100,10.96
alexandria,eg,43.97,25.33,78.79,44,50,6.08
namatanai,pg,-3.66,152.44,79.33,83,73,15.03
masuguru,tz,-11.38,38.46,76.63,36,91,1.74
luba,gq,17.32,120.7,74.29,93,100,2.95
sheregesh,ru,52.93,87.98,55.75,98,95,2.59
paluan,ph,13.42,120.46,84.73,75,100,11.34
oga,jp,46.46,10.35,60.24,72,69,10.29
alice,za,-32.79,26.83,48.91,65,93,21.16
anahuac,mx,26.44,-109.02,97.57,55,100,5.01
ivanovo,ru,57.0,40.97,57.19,96,56,5.3
ayorou,ne,14.73,0.92,103.09,23,76,1.23
dekar,bw,-21.53,21.93,56.29,40,0,4.85
alcudia,es,39.85,3.12,82.31,58,0,8.05
zhob,pk,31.34,69.45,73.03,64,18,6.17
chingirlau,kz,51.09,54.08,75.37,66,25,16.87
zhezkazgan,kz,47.8,67.71,79.69,27,0,11.16
puerto del rosario,es,28.5,-13.86,75.99,61,75,18.34
la romana,do,18.43,-68.97,89.94,63,75,11.41
killybegs,ie,54.63,-8.45,59.88,72,90,4.7
riyadh,sa,24.63,46.72,102.2,11,9,17.22
sinnamary,gf,5.38,-52.96,81.67,77,2,13.35
mandalgovi,mn,45.76,106.27,63.67,65,17,0.81
tuburan,ph,10.73,123.82,80.6,88,40,2.24
high level,ca,58.52,-117.13,68.0,60,20,11.41
iqaluit,ca,63.75,-68.52,51.42,76,75,11.41
robe,et,7.12,40.01,48.91,90,45,3.65
naze,jp,5.43,7.07,72.67,96,99,5.39
karatau,kz,43.18,70.46,88.33,14,0,11.21
cartagena,co,37.63,-1.0,82.56,74,0,16.11
odessa,us,31.85,-102.37,96.94,30,1,11.41
beysehir,tr,37.68,31.72,65.47,51,37,7.38
ulladulla,au,-35.36,150.48,40.55,75,6,13.87
aswan,eg,24.09,32.9,107.6,11,0,10.29
maiduguri,ng,11.84,13.15,85.27,58,100,13.98
yar-sale,ru,66.83,70.83,69.43,72,33,3.36
poddorye,ru,57.47,31.12,60.61,94,86,8.55
shizilu,cn,29.63,109.09,69.97,96,100,1.43
wladyslawowo,pl,54.79,18.4,66.52,77,0,5.82
chubbuck,us,42.93,-112.47,75.72,29,20,18.34
taiobeiras,br,-15.81,-42.23,70.69,45,42,13.71
bonthe,sl,7.53,-12.5,77.53,86,100,16.06
gazli,uz,40.13,63.45,98.05,11,0,17.74
nisia floresta,br,-6.09,-35.21,78.8,78,75,21.92
